internal_drug_id,entity_status,name_candidate,name_source,name_resolution_status,rxnorm_match_status,rxnorm_match_method,rxcui,rxnorm_name,rxnorm_synonym,rxnorm_tty,rxnorm_language,match_score,enrichment_confidence,api_status,error_message
DRUG_000118,CONFIRMED_INTEGRATED_ENTITY,isradipine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,33910,isradipine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000119,CONFIRMED_INTEGRATED_ENTITY,Diatrizoate,pubchem_inchikey_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,1546223,diatrizoic acid,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000120,CONFIRMED_INTEGRATED_ENTITY,topiramate,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,38404,topiramate,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000121,CONFIRMED_INTEGRATED_ENTITY,cefmetazole,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,2182,cefmetazole,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000122,CONFIRMED_INTEGRATED_ENTITY,olmesartan,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,321064,olmesartan,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000123,CONFIRMED_INTEGRATED_ENTITY,amsacrine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,739,amsacrine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000124,CONFIRMED_INTEGRATED_ENTITY,Theophylline,pubchem_cid_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,10438,theophylline,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000125,CONFIRMED_INTEGRATED_ENTITY,Argatroban,pubchem_inchikey_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,15202,argatroban,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000126,CONFIRMED_INTEGRATED_ENTITY,liothyronine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,10814,liothyronine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000127,CONFIRMED_INTEGRATED_ENTITY,disopyramide,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,3541,disopyramide,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000128,CONFIRMED_INTEGRATED_ENTITY,lidocaine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,6387,lidocaine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000129,CONFIRMED_INTEGRATED_ENTITY,Pamidronic Acid,pubchem_cid_lookup,PUBCHEM_TITLE_CANDIDATE,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,,,,,,0.0,AMBIGUOUS_CLINICAL_MAPPING,success,"Conflict: mapped to multiple different RxCUIs: ['11473', '1546406']"
DRUG_000130,CONFIRMED_INTEGRATED_ENTITY,clemastine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,2578,clemastine,,IN,ENG,100.0,HIGH_EXACT,success,
