internal_drug_id,query_name,candidate_rxcui,candidate_name,candidate_tty,match_method,match_score,selected_as_final,selection_reason
DRUG_000191,alfuzosin,17300,alfuzosin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000197,methylergonovine,6883,methylergonovine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000200,chlorzoxazone,2410,chlorzoxazone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000202,mefloquine,6694,mefloquine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000203,sulfadiazine,10171,sulfadiazine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000205,vinorelbine,39541,vinorelbine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000212,Methylnorethindrone,7518,norgestrel,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000215,mirtazapine,15996,mirtazapine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000216,meprobamate,6760,meprobamate,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000218,treprostinil,343048,treprostinil,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000219,trihexyphenidyl,10811,trihexyphenidyl,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000220,palonosetron,70561,palonosetron,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000222,mexiletine,6926,mexiletine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000224,amlodipine,17767,amlodipine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000230,digoxin,3407,digoxin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000233,nimodipine,7426,nimodipine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000235,carisoprodol,2101,carisoprodol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000236,progesterone,8727,progesterone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000238,sorafenib,495881,sorafenib,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000239,Zoledronic Acid,77655,zoledronic acid,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000241,nisoldipine,7435,nisoldipine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000244,Zopiclone,40001,zopiclone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000245,alprazolam,596,alprazolam,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000247,loxapine,6475,loxapine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000249,mupirocin,42372,mupirocin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000250,Carbamylcholine,1546387,carbamoylcholine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000251,rosiglitazone,84108,rosiglitazone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000252,pramipexole,746741,pramipexole,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000256,miglustat,402316,miglustat,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000258,spironolactone,9997,spironolactone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000261,Methylphenidate,6901,methylphenidate,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000262,methocarbamol,6845,methocarbamol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000266,zolpidem,39993,zolpidem,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000267,famciclovir,68099,famciclovir,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000273,prochlorperazine,8704,prochlorperazine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000275,nitric oxide,7442,nitric oxide,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000279,trimethoprim,10829,trimethoprim,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000280,gemcitabine,12574,gemcitabine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000287,chloramphenicol,2348,chloramphenicol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000290,Lansoprazole,17128,lansoprazole,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000292,droperidol,3648,droperidol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000293,levothyroxine,10582,levothyroxine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000296,meperidine,6754,meperidine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000297,loratadine,28889,loratadine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000299,prazosin,8629,prazosin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000300,imipramine,5691,imipramine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000301,acitretin,16818,acitretin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000302,verteporfin,118886,verteporfin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000303,nabumetone,31448,nabumetone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000305,ketorolac,35827,ketorolac,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000311,dronabinol,10402,dronabinol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000313,fluoxetine,4493,fluoxetine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000316,duloxetine,72625,duloxetine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000317,chlorpromazine,2403,chlorpromazine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000318,amikacin,641,amikacin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000319,lenalidomide,342369,lenalidomide,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000320,raloxifene,72143,raloxifene,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000321,celecoxib,140587,celecoxib,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000323,brimonidine,134615,brimonidine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000325,nabilone,31447,nabilone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000328,sotalol,9947,sotalol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000329,buspirone,1827,buspirone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000333,entacapone,60307,entacapone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000334,zidovudine,11413,zidovudine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000335,darifenacin,136198,darifenacin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000336,oxycodone,7804,oxycodone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000338,flutamide,4508,flutamide,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000340,cimetidine,2541,cimetidine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000341,haloperidol,5093,haloperidol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000342,ritonavir,85762,ritonavir,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000346,vancomycin,11124,vancomycin,IN,exact_name_lookup,100.0,1,Top matching score candidate
