internal_drug_id,name_candidate,failure_type,failure_stage,error_message
DRUG_001137,"4-{4,7-dihydroxy-9a,11a-dimethyl-hexadecahydro-1H-cyclopenta[a]phenanthren-1-yl}pentanoic acid",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001163,Aceprometazine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001175,Topiroxostat,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001179,Equilin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001191,Ribostamycin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001205,Estrone Sulfate,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001207,Fleroxacin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001227,Voglibose,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001228,Vapreotide,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001230,Ximelagatran [MI],NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001241,Lucanthone,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001250,Ecabet,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001251,Ibudilast,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001272,Rimonabant,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001274,Pixantrone,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001277,Lasofoxifene,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001288,Vernakalant,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001295,Amrubicin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001297,NO_NAME_CANDIDATE,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001298,Sitaxentan,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001314,Agomelatine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001352,Sulfaphenazole,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001355,Zaltoprofen,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001356,Ketobemidone,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001357,Seratrodast,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001390,"(S)-3,6-Diamino-N-((3S,9S,12S,15S,Z)-3-((4R,6S)-2-amino-6-hydroxy-3,4,5,6-tetrahydropyrimidin-4-yl)-9,12-bis(hydroxymethyl)-2,5,8,11,14-pentaoxo-6-(ureidomethylene)-1,4,7,10,13-pentaazacyclohexadecan-15-yl)hexanamide",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001393,Azidocillin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001396,Sulfamoxole,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001403,Bopindolol,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001404,Bupranolol,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001453,Perospirone,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001469,Fluprednidene,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001474,Etofibrate,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001477,Epirizole,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001478,Eperisone,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001479,"(3R,4R)-3,6-diamino-N-[(3S,6Z,9S,12S,15S)-3-[(6R)-2-amino-1,4,5,6-tetrahydropyrimidin-6-yl]-6-[(carbamoylamino)methylidene]-9,12-bis(hydroxymethyl)-2,5,8,11,14-pentaoxo-1,4,7,10,13-pentazacyclohexadec-15-yl]-4-hydroxyhexanamide",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001480,Ditazole,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001481,Dimetacrine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001482,Cyamemazine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001485,Captodiame,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001490,Benzoctamine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001540,Nitrous Acid,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001544,Zucapsaicin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001552,Choletec,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001561,Ferric citrate,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001562,Etizolam,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001566,Lobeglitazone,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001567,Arotinolol,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001570,Limaprost,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001577,Blonanserin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001581,Azelnidipine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001582,Benidipine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001583,Cilnidipine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001584,Efonidipine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001589,Pirlindole,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001590,Toloxatone,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001592,NO_NAME_CANDIDATE,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001593,Imidafenacin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001595,Strontium Ranelate,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001600,Doxofylline,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001606,Fimasartan,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001610,Trapidil,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001613,Propacetamol,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001615,Ramosetron,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001626,Penicillin G benzathine (USP),NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001629,Mersalyl Acid,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001630,Propoxycaine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001634,Darvon-N,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001640,NO_NAME_CANDIDATE,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001649,Pamabrom,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001676,Rupatadine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001681,"Aspidospermidine-3-carboxylic acid, 4-(acetyloxy)-6,7-didehydro-15-((2R,4R,6S,8S)-4-(1,1-difluoroethyl)-1,3,4,5,6,7,8,9-octahydro-8-(methoxycarbonyl)-2,6-methano-2H-azecino(4,3-b)indol-8-yl)-3-hydroxy-16-methoxy-1-methyl-, methyl ester, (2beta,3beta,4beta,5alpha,12R,19alpha)-",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001686,Icotinib,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001704,Oxethazaine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001705,Nafamostat,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001709,NO_NAME_CANDIDATE,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001713,Alclofenac,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001726,"1-propanaminium, 3-carboxy-2-hydroxy-n,n,n-trimethyl-, inner salt",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001728,Hexose,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001730,N-Acetyl-DL-cysteine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001731,Mercaptoethanesulfonic acid,NO_MATCH,matching,No matching concept found in RxNorm API.
